r_f_1,r_f_2,r_f_3,r_f_4,s_f_1,s_f_2,s_f_3,s_f_4
-5.924036706543587,-3.2638902253856674,-1.6538591825330675,0.8915846387104399,-6.336122912372929,-3.1780593726278283,-0.6093463974189914,2.3026998021042924
-5.38584016371461,-3.010149289181041,-6.150870293227787,0.5349222851307613,-6.056205588833684,-2.999510812278598,-6.021406340004159,0.7098258331651623
-5.902798705029399,-3.0521145212234004,-3.462932541236527,1.4556039540617602,-6.263683402017983,-3.068463767280478,-3.661896161720758,1.1868117256820563
-5.652117042620389,-3.045114593841033,-4.464406045920482,6.141888672958928,-6.027576508709916,-3.2156895675311854,-6.159876263689184,3.045642068004814
-4.801776835535054,-3.036991754837321,-4.688133698485412,1.8163499262849512,-6.1765324693487225,-3.071441955948891,-5.107375351879606,1.2499662032908572
-5.789922541740944,-3.1384710755939498,-1.1011164397858417,7.522970241985087,-6.2808977175896885,-3.310004755214277,-3.1885921583385315,4.702844724266249
-5.834146905021555,-2.894712031060974,-4.118867022714861,6.729460769361631,-6.137134911727696,-3.221303232270561,-5.487076376860845,3.0747366088094177
-6.169540379558795,-3.3783193005245646,-6.050304526738547,8.579161834776446,-6.1024784865316395,-3.354905321363593,-5.747471761915566,6.212443174740387
-5.259099776239512,-2.9389505690674835,-2.8729475871043846,3.9434612574527033,-6.206307315588158,-3.091968537920482,-4.735096770900888,1.427746141109894
-5.518640671341255,-3.0898683245240153,-1.3099928683632305,4.250405811743512,-6.298815247302621,-3.193665654744256,-2.573153666021957,2.543910056647118
-4.921338225153038,-3.0779070063424734,-1.5452230167087455,4.831143732697305,-6.283717382091989,-3.2057585804003645,-3.101110936597234,2.7291805277375265
-5.238896170390342,-3.239975028956907,-3.7460913418273756,2.09736689288444,-6.27714257935232,-3.203350038232689,-3.3003861267557175,2.6995056102478623
-6.179881272790622,-3.4172235633466284,-2.460002759548596,4.427377022551093,-6.320304438120708,-3.3458691306319905,-1.5916588456253091,5.600490337030599
