r_f1,r_f2,r_f3,s_f1,s_f2,s_f3
-1.160236432494005,-1.9131259900400126,-1.7232650539346837,-1.1660814016181966,-1.8447289900172643,-1.6518281988644854
-1.1689729889427447,-1.0509724602141555,-2.116890293051332,-1.1660814424583321,-1.0151553002296707,-2.0238473751757744
-1.1665540518764088,-1.182418834098368,-2.294927099619014,-1.1660814112353028,-1.0287842432362477,-2.1344643143036044
-1.1505511822648613,-1.6472426967109888,-2.2787820716391822,-1.1660813721291479,-1.2794286729107947,-1.8946207672245043
-1.1565946343299818,-1.694378749628346,-1.9475047093012194,-1.1660813402339087,-1.530902682251757,-1.7767630373944538
-1.1590699577896129,-0.8109562912836724,-2.0883893108904523,-1.1660814140295166,-0.9744377904880027,-2.2591366577606964
-1.154069104813523,-0.9841230095964968,-2.5780141884083743,-1.166081417083038,-0.9126327949768132,-2.50334665368137
-1.1556081751597207,-1.2850078154827074,-2.9028394517197467,-1.1660814171607652,-0.9111196883685592,-2.5123341078146906
-1.1692331438732757,-1.6084664200442704,-2.2831298663218824,-1.1660813747522645,-1.2517918151499794,-1.9106030657311766
-1.1555378240809073,-0.8468802118464213,-2.887594832634747,-1.1660813890573136,-0.7879309948453936,-2.826025650593948
-1.1603213717109575,-0.78641857683554,-2.3991205553078756,-1.1660814172827847,-0.9087545225051694,-2.5268936720598716
-1.165533662286846,-1.4575544564216045,-2.813389763755173,-1.1660814146257668,-0.9619966999524788,-2.295807244454565
-1.150791857533284,-1.3435955054010291,-2.1676635948684195,-1.1660813837103228,-1.1566709583350379,-1.9724312935672343
-1.1512469915829975,-1.4957930283381562,-2.7222123022577263,-1.166081412965392,-0.9970892091859132,-2.20134389221921
-1.1618588203620857,-0.9811315544452514,-2.7042329446542865,-1.1660814179255548,-0.8963863279289556,-2.615721295296679
-1.16018991763043,-1.3196999940298197,-2.581772592860071,-1.1660814135463258,-0.9846465026525035,-2.2318278538880105
-1.152958440715699,-1.736496070811024,-2.4834345374645928,-1.166081378495102,-1.211668879146684,-1.9352817092821666
-1.165741938831096,-0.8886819496771826,-2.6513334671996875,-1.1660814185867305,-0.8919257457410795,-2.654721464460439
-1.1538264785211438,-0.7400960334407422,-2.725870033744769,-1.16608137977882,-0.8161840304399596,-2.8053397135885523
-1.1672256699235533,-1.8133250801623837,-2.1853927042958943,-1.1660813561317787,-1.4528692960455092,-1.8089166715483982
-1.1554809677722744,-0.6395739686142745,-2.4304664627606765,-1.166081418351518,-0.8882982051854905,-2.6902451379779286
-1.164398187670174,-1.7580184422753704,-1.9174477365840046,-1.1660813340220693,-1.6006033330986102,-1.7530363983975825
-1.1543043633432595,-1.4930973630898938,-2.6551273147344636,-1.166081412054282,-1.0169683559268252,-2.1578370394647055
-1.1692734174568993,-0.8332085210685896,-2.1999194673610645,-1.1660814424583321,-0.9031488392834913,-2.1586580880877126
-1.1678943172439233,-1.2006678243763402,-2.351197907538508,-1.1660814121909202,-1.0164850771465628,-2.15882927171407
-1.1504898135498671,-1.5391708476564676,-2.8159149536836896,-1.166081413610158,-0.983290078846991,-2.2353283997316793
-1.1665365065911344,-1.8254523600584283,-2.4511010865339378,-1.1660813713268727,-1.2880348143908633,-1.8897983332673138
-1.1549110453448634,-1.6674979485099435,-1.81846138707659,-1.166081333785494,-1.6038406751221017,-1.7519748955308452
-1.1666254966932892,-0.7146691954705371,-2.6839378168849137,-1.1660814424583321,-0.8380539003623476,-2.7741327149721187
-1.153290145329482,-1.1364484452704664,-1.9666008148453198,-1.1660813845349165,-1.1480141962482373,-1.978680596220897
-1.1638267407055547,-0.8710720355354021,-2.078721188725951,-1.166081413528641,-0.994448650248548,-2.2075812113037943
-1.1501164919021596,-0.9843678622126371,-2.113876228062827,-1.166081411908435,-1.0201924605014887,-2.151293034516056
-1.1521184247341465,-1.4847659271493532,-2.056398220540011,-1.1660813690448126,-1.3124918964310976,-1.8764675669586013
-1.1645058787615248,-1.5127191149423325,-2.128029715776143,-1.1660813715472114,-1.2858115536940753,-1.891037377223968
-1.167346410112844,-1.4833824086252254,-2.6624868364698817,-1.1660814123086445,-1.01137716191933,-2.169503600038401
-1.1568358944788022,-1.3639535410524153,-1.7967786080118024,-1.1660813610518572,-1.3988974206535558,-1.833275541485177
-1.1699228238023724,-0.9583408768135416,-1.8821831287902149,-1.1660814425725385,-1.2607646252059848,-1.8385102779118818
-1.1514638014478191,-0.9780342106455944,-2.5960112308871155,-1.1660814172597058,-0.9091977953467033,-2.524115443398735
-1.1639578714136616,-0.8037088366281788,-2.0504962870136128,-1.1660814424583317,-0.9481489770664973,-2.3239358873352667
-1.1584184278923493,-1.527728732588647,-2.162859837891686,-1.1660813726448742,-1.273904105223848,-1.897754120388783
